backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genres,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,foreign,very_popular,year_released,good
/AoSZyb37ljMAxw0RdeQEBHKtgcc.jpg,"[10751, 16, 12, 35, 14]",330457,en,Frozen II,"Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.",146.656,/mINJaa34MtknCYl5AjtNJzWj8cD.jpg,2019-11-20,Frozen II,False,7.3,8158,"Family,Animation,Adventure,Comedy,Fantasy",0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,False,0,2019,True
/l9jk6xKwbUi7VnwnKcv2rYCGH3t.jpg,"[12, 10751, 18]",754067,fr,Mystère,"Stéphane decides to move to the beautiful mountains of Cantal in order to reconnect with his 8-year-old daughter, Victoria, who has been silent since her mother's disappearance. During a walk in the forest, a shepherd gives Victoria a puppy named ""Mystery"" who will gradually give her a taste for life. But very quickly, Stéphane discovers that the animal is in reality a wolf… Despite the warnings and the danger of this situation, he cannot bring himself to separate his daughter from this seemingly harmless ball of hair.",146.63,/u6fBXfWU7jaG0zWYiOvh1myEQC.jpg,2021-12-15,Vicky and Her Mystery,False,7.2,352,"Adventure,Family,Drama",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,True,0,2021,True
/cDJ61O1STtbWNBwefuqVrRe3d7l.jpg,"[12, 14, 28]",10195,en,Thor,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",146.518,/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg,2011-04-21,Thor,False,6.8,18076,"Adventure,Fantasy,Action",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,2011,True
/yC4DRg5aGgNpkHpUDpLtBqzownS.jpg,"[878, 28]",586047,ko,서복,"A former intelligence agent gets involved with the first human clone, Seobok, who others seek, causing trouble.",146.508,/nxxuWC32Y6TULj4VnVwMPUFLIpK.jpg,2021-04-12,Seobok: Project Clone,False,7.5,119,"Science Fiction,Action",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,0,2021,True
/yOCRqvrRrxbs5FYq2pX1KtLJwmR.jpg,"[28, 12, 878, 53]",135397,en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",144.948,/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,2015-06-06,Jurassic World,False,6.7,17893,"Action,Adventure,Science Fiction,Thriller",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False,0,2015,True
/pVNXmfZvQKFdUKVYNJxZAiy69DC.jpg,"[28, 12]",529106,ru,Майор Гром: Чумной Доктор,"Igor Grom is a skilled policeman from St. Petersburg, known for his daring nature and uncompromising attitude towards the criminals of all kinds. Incredible strength, analytical mind and integrity – these qualities make Major Grom the perfect policeman. Working tirelessly, he always pushes through, and meets the challenges standing in the way.",144.661,/wnesEmcq7xdw1Rm1Bn6XEFTkenR.jpg,2021-04-01,Major Grom: Plague Doctor,False,6.8,427,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,2021,True
/vkIJ2QgcKMJRvi6pBW4Tr2kgLdy.jpg,[53],637534,fr,BAC Nord,"A police brigade working in the dangerous northern neighborhoods of Marseille, where the level of crime is higher than anywhere else in France.",143.282,/nLanxl7Xhfbd5s8FxPy8jWZw4rv.jpg,2021-08-18,The Stronghold,False,7.5,776,Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,0,2021,True
/8moTOzunF7p40oR5XhlDvJckOSW.jpg,"[27, 14]",474350,en,It Chapter Two,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.",142.928,/zfE0R94v1E8cuKAerbskfD3VfUt.jpg,2019-09-04,It Chapter Two,False,6.9,6846,"Horror,Fantasy",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,False,0,2019,True
/kdbLf3aTQsEXqYlH9vA4fzmnSFz.jpg,"[10752, 18, 28]",228150,en,Fury,"In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",141.314,/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg,2014-10-15,Fury,False,7.5,9895,"War,Drama,Action",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,False,0,2014,True
/n9Z0uiorAvtZp0CmNRFlw78jw1E.jpg,"[27, 18]",760195,en,Separation,A young girl finds solace in her artist father and the ghost of her dead mother.,141.049,/lHbSC2Np17CRsRXIbaE0YY1Hora.jpg,2021-04-30,Separation,False,5.8,131,"Horror,Drama",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,False,0,2021,False
